run_id,table_type,table_m,hash_name,data_n,phase,metric,value
10,chaining,2000003,mul,10000000,structure,chain_top3,19
10,chaining,2000003,mul,10000000,gaps,min,0
10,chaining,2000003,mul,10000000,gaps,avg,0.006855673424675189
10,chaining,2000003,mul,10000000,gaps,max,3
11,chaining,2000003,mix,100000,insert,time_ns,19520800
11,chaining,2000003,mix,100000,insert,collisions,2488
11,chaining,2000003,mix,100000,insert,memory_bytes,9188688
11,chaining,2000003,mix,100000,search,time_ns,7168300
11,chaining,2000003,mix,100000,structure,chain_top1,3
11,chaining,2000003,mix,100000,structure,chain_top2,3
11,chaining,2000003,mix,100000,structure,chain_top3,3
11,chaining,2000003,mix,100000,gaps,min,0
11,chaining,2000003,mix,100000,gaps,avg,19.50356253139641
11,chaining,2000003,mix,100000,gaps,max,215
11,chaining,2000003,mix,1000000,insert,time_ns,67921200
11,chaining,2000003,mix,1000000,insert,collisions,250634
11,chaining,2000003,mix,1000000,insert,memory_bytes,16777264
11,chaining,2000003,mix,1000000,search,time_ns,56838500
11,chaining,2000003,mix,1000000,structure,chain_top1,7
11,chaining,2000003,mix,1000000,structure,chain_top2,7
11,chaining,2000003,mix,1000000,structure,chain_top3,7
11,chaining,2000003,mix,1000000,gaps,min,0
11,chaining,2000003,mix,1000000,gaps,avg,1.5427997482629507
11,chaining,2000003,mix,1000000,gaps,max,31
11,chaining,2000003,mix,10000000,insert,time_ns,1407864800
11,chaining,2000003,mix,10000000,insert,collisions,25016336
11,chaining,2000003,mix,10000000,insert,memory_bytes,92274736
11,chaining,2000003,mix,10000000,search,time_ns,1505590800
11,chaining,2000003,mix,10000000,structure,chain_top1,20
11,chaining,2000003,mix,10000000,structure,chain_top2,19
11,chaining,2000003,mix,10000000,structure,chain_top3,19
11,chaining,2000003,mix,10000000,gaps,min,0
11,chaining,2000003,mix,10000000,gaps,avg,0.0068952149846070974
11,chaining,2000003,mix,10000000,gaps,max,2
12,linear,2000003,mod,100000,insert,time_ns,18538100
12,linear,2000003,mod,100000,insert,collisions,2670
12,linear,2000003,mod,100000,insert,memory_bytes,10388672
12,linear,2000003,mod,100000,search,time_ns,1804600
12,linear,2000003,mod,100000,gaps,min,0
12,linear,2000003,mod,100000,gaps,avg,19.00003
12,linear,2000003,mod,100000,gaps,max,238
12,linear,2000003,mod,1000000,insert,time_ns,42709600
12,linear,2000003,mod,1000000,insert,collisions,503560
12,linear,2000003,mod,1000000,insert,memory_bytes,10388672
12,linear,2000003,mod,1000000,search,time_ns,21822600
12,linear,2000003,mod,1000000,gaps,min,0
12,linear,2000003,mod,1000000,gaps,avg,1.000003
12,linear,2000003,mod,1000000,gaps,max,26
13,linear,2000003,mul,100000,insert,time_ns,24170800
13,linear,2000003,mul,100000,insert,collisions,2585
13,linear,2000003,mul,100000,insert,memory_bytes,10388672
13,linear,2000003,mul,100000,search,time_ns,24088500
13,linear,2000003,mul,100000,gaps,min,0
13,linear,2000003,mul,100000,gaps,avg,19.00003
13,linear,2000003,mul,100000,gaps,max,228
13,linear,2000003,mul,1000000,insert,time_ns,220319100
13,linear,2000003,mul,1000000,insert,collisions,502132
13,linear,2000003,mul,1000000,insert,memory_bytes,10388672
13,linear,2000003,mul,1000000,search,time_ns,178640000
13,linear,2000003,mul,1000000,gaps,min,0
13,linear,2000003,mul,1000000,gaps,avg,1.000003
13,linear,2000003,mul,1000000,gaps,max,32
14,linear,2000003,mix,100000,insert,time_ns,6626600
14,linear,2000003,mix,100000,insert,collisions,2605
14,linear,2000003,mix,100000,insert,memory_bytes,10388672
14,linear,2000003,mix,100000,search,time_ns,5994800
14,linear,2000003,mix,100000,gaps,min,0
14,linear,2000003,mix,100000,gaps,avg,19.00003
14,linear,2000003,mix,100000,gaps,max,215
14,linear,2000003,mix,1000000,insert,time_ns,60632800
14,linear,2000003,mix,1000000,insert,collisions,500352
14,linear,2000003,mix,1000000,insert,memory_bytes,10388672
14,linear,2000003,mix,1000000,search,time_ns,36245300
14,linear,2000003,mix,1000000,gaps,min,0
14,linear,2000003,mix,1000000,gaps,avg,1.000003
14,linear,2000003,mix,1000000,gaps,max,31
15,doublehash,2000003,mod+dh,100000,insert,time_ns,19545700
15,doublehash,2000003,mod+dh,100000,insert,collisions,2622
15,doublehash,2000003,mod+dh,100000,insert,memory_bytes,10389320
15,doublehash,2000003,mod+dh,100000,search,time_ns,5209400
15,doublehash,2000003,mod+dh,100000,gaps,min,0
15,doublehash,2000003,mod+dh,100000,gaps,avg,19.00003
15,doublehash,2000003,mod+dh,100000,gaps,max,237
15,doublehash,2000003,mod+dh,1000000,insert,time_ns,99411100
15,doublehash,2000003,mod+dh,1000000,insert,collisions,386243
15,doublehash,2000003,mod+dh,1000000,insert,memory_bytes,10388672
15,doublehash,2000003,mod+dh,1000000,search,time_ns,35537400
15,doublehash,2000003,mod+dh,1000000,gaps,min,0
15,doublehash,2000003,mod+dh,1000000,gaps,avg,1.000003
15,doublehash,2000003,mod+dh,1000000,gaps,max,21
16,doublehash,2000003,mul+dh,100000,insert,time_ns,28591200
16,doublehash,2000003,mul+dh,100000,insert,collisions,2543
16,doublehash,2000003,mul+dh,100000,insert,memory_bytes,10388672
16,doublehash,2000003,mul+dh,100000,search,time_ns,18795300
16,doublehash,2000003,mul+dh,100000,gaps,min,0
16,doublehash,2000003,mul+dh,100000,gaps,avg,19.00003
16,doublehash,2000003,mul+dh,100000,gaps,max,228
16,doublehash,2000003,mul+dh,1000000,insert,time_ns,210401500
16,doublehash,2000003,mul+dh,1000000,insert,collisions,385796
16,doublehash,2000003,mul+dh,1000000,insert,memory_bytes,10388672
16,doublehash,2000003,mul+dh,1000000,search,time_ns,173147200
16,doublehash,2000003,mul+dh,1000000,gaps,min,0
